0	0	-2.2940
0	0	2.2940
0	-2.2940	0
0	2.2940	0
-1.7249	-1.2472	-0.36868
-1.7249	1.2472	0.36868
-1.7249	-0.36868	1.2472
-1.7249	0.36868	-1.2472
1.7249	-1.2472	0.36868
1.7249	1.2472	-0.36868
1.7249	-0.36868	-1.2472
1.7249	0.36868	1.2472
-2.2940	0	0
2.2940	0	0
-1.2472	-1.7249	0.36868
-1.2472	1.7249	-0.36868
-1.2472	-1.2472	-1.2472
-1.2472	-1.2472	1.2472
-1.2472	1.2472	-1.2472
-1.2472	1.2472	1.2472
-1.2472	-0.36868	-1.7249
-1.2472	0.36868	1.7249
1.2472	-1.7249	-0.36868
1.2472	1.7249	0.36868
1.2472	-1.2472	-1.2472
1.2472	-1.2472	1.2472
1.2472	1.2472	-1.2472
1.2472	1.2472	1.2472
1.2472	-0.36868	1.7249
1.2472	0.36868	-1.7249
-0.36868	-1.7249	-1.2472
-0.36868	1.7249	1.2472
-0.36868	-1.2472	1.7249
-0.36868	1.2472	-1.7249
0.36868	-1.7249	1.2472
0.36868	1.7249	-1.2472
0.36868	-1.2472	-1.7249
0.36868	1.2472	1.7249
